Εβδομάδα,Score
2020-01-05,59
2020-01-12,68
2020-01-19,64
2020-01-26,62
2020-02-02,64
2020-02-09,63
2020-02-16,60
2020-02-23,55
2020-03-01,56
2020-03-08,51
2020-03-15,57
2020-03-22,65
2020-03-29,73
2020-04-05,73
2020-04-12,60
2020-04-19,62
2020-04-26,65
2020-05-03,67
2020-05-10,62
2020-05-17,58
2020-05-24,59
2020-05-31,60
2020-06-07,60
2020-06-14,65
2020-06-21,61
2020-06-28,49
2020-07-05,47
2020-07-12,48
2020-07-19,46
2020-07-26,49
2020-08-02,49
2020-08-09,47
2020-08-16,47
2020-08-23,49
2020-08-30,54
2020-09-06,58
2020-09-13,69
2020-09-20,68
2020-09-27,68
2020-10-04,69
2020-10-11,67
2020-10-18,66
2020-10-25,59
2020-11-01,73
2020-11-08,86
2020-11-15,86
2020-11-22,100
