,iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,gdp_per_capita,hospital_beds_per_thousand,death_rate,log_population_density
562,ALB,Europe,Albania,2020-11-01,20875.0,509.0,7253.805,176.87099999999998,11803.431,2.89,0.02438323353293413,2.020655409249801
1144,AND,Europe,Andorra,2020-11-01,4756.0,75.0,61554.390999999996,970.685,,,0.01576955424726661,2.214194569361579
3352,AUT,Europe,Austria,2020-11-01,106584.0,1097.0,11834.251,121.802,45436.685999999994,7.37,0.010292351572468663,2.0283638153456227
5083,BLR,Europe,Belarus,2020-11-01,98482.0,980.0,10422.125,103.711,17167.967,11.0,0.009951057045957636,1.6707837480360153
5408,BEL,Europe,Belgium,2020-11-01,448628.0,11853.0,38709.479,1022.7260000000001,42658.575999999994,5.64,0.026420553331490678,2.5746839559299133
7133,BIH,Europe,Bosnia and Herzegovina,2020-11-01,50090.0,1234.0,15267.548,376.126,11713.895,3.5,0.024635655819524854,1.8356652104902342
8438,BGR,Europe,Bulgaria,2020-11-01,52844.0,1279.0,7605.155,184.07,18563.307,7.454,0.02420331541896904,1.8141143561291255
12937,HRV,Europe,Croatia,2020-11-01,49316.0,546.0,12012.858,133.0,22669.797000000002,5.54,0.011071457539135372,1.8676206719194826
13687,CYP,Europe,Cyprus,2020-11-01,4366.0,26.0,4984.593,29.684,32415.132,3.4,0.005955107650022904,2.106044634087561
14012,CZE,Europe,Czech Republic,2020-11-01,335102.0,3251.0,31291.676,303.577,32605.906000000003,6.63,0.009701523715167323,2.1372781348451455
14589,DNK,Europe,Denmark,2020-11-01,46351.0,721.0,8002.309,124.478,46682.515,2.5,0.015555219952104593,2.135196279606601
17116,EST,Europe,Estonia,2020-11-01,4905.0,73.0,3697.592,55.03,29481.252,4.69,0.014882772680937819,1.491823761419421
17627,FRO,Europe,Faeroe Islands,2020-11-01,495.0,,10129.95,,,,,1.547873117915301
18477,FIN,Europe,Finland,2020-11-01,16113.0,358.0,2908.107,64.613,40585.721,3.28,0.02221808477626761,1.258541507118461
18802,FRA,Europe,France,2020-11-01,1364625.0,36788.0,20906.26,563.5980000000001,38605.671,5.98,0.026958321883301273,2.088412531063654
20196,DEU,Europe,Germany,2020-11-01,532930.0,10481.0,6360.765,125.096,45229.245,8.0,0.019666747978158483,2.374777664479156
20692,GIB,Europe,Gibraltar,2020-11-01,697.0,,20688.018,,,,,3.538711942116912
21017,GRC,Europe,Greece,2020-11-01,39251.0,626.0,3765.7859999999996,60.059,24574.382,4.21,0.015948638251254744,1.9215772379846585
22272,GGY,Europe,Guernsey,2020-11-01,268.0,13.0,3996.8979999999997,193.87900000000002,,,0.048507462686567165,
23839,HUN,Europe,Hungary,2020-11-01,79199.0,1819.0,8198.357,188.295,26777.561,7.02,0.022967461710375132,2.0335966346172007
24164,ISL,Europe,Iceland,2020-11-01,4865.0,12.0,14256.41,35.165,46482.958,2.91,0.0024665981500513875,0.5319895514125502
25789,IRL,Europe,Ireland,2020-11-01,61456.0,1913.0,12446.038999999999,387.42,67335.293,2.96,0.03112796146836761,1.8443156055443604
26033,IMN,Europe,Isle of Man,2020-11-01,353.0,24.0,4151.378,282.247,,,0.0679886685552408,2.169885946838611
26683,ITA,Europe,Italy,2020-11-01,679430.0,38618.0,11237.338,638.717,35220.084,3.18,0.056838820776238905,2.3135698587753035
27505,JEY,Europe,Jersey,2020-11-01,574.0,32.0,5679.064,316.603,,,0.05574912891986063,
28525,OWID_KOS,Europe,Kosovo,2020-11-01,19842.0,681.0,10266.074,352.343,9795.834,,0.03432113698215906,2.225709785359399
29605,LVA,Europe,Latvia,2020-11-01,5894.0,71.0,3124.798,37.641999999999996,25063.846,5.57,0.012046148625721072,1.4943215982434976
30883,LIE,Europe,Liechtenstein,2020-11-01,533.0,3.0,13975.928999999998,78.664,,2.397,0.005628517823639775,2.3747703350474443
31208,LTU,Europe,Lithuania,2020-11-01,14824.0,165.0,5445.4130000000005,60.611000000000004,29524.265,6.56,0.011130599028602266,1.6545134467957618
31533,LUX,Europe,Luxembourg,2020-11-01,17933.0,157.0,28648.063,250.808,94277.965,4.51,0.008754809568951095,2.364451555860287
31858,MKD,Europe,Macedonia,2020-11-01,31572.0,994.0,15154.221000000001,477.10900000000004,13111.214,4.28,0.031483593057139235,1.9169800473203822
33445,MLT,Europe,Malta,2020-11-01,6042.0,62.0,13683.955,140.418,36513.323,4.485,0.010261502813637868,3.162575457892607
34542,MDA,Europe,Moldova,2020-11-01,76040.0,1785.0,18849.95,442.49300000000005,5189.972,5.8,0.02347448711204629,2.092211681785121
34867,MCO,Europe,Monaco,2020-11-01,359.0,1.0,9147.895,25.482,,13.8,0.002785515320334262,4.286624855331737
35365,MNE,Europe,Montenegro,2020-11-01,18341.0,301.0,29202.531000000003,479.25199999999995,16409.288,3.861,0.016411318903004197,1.665393350279712
37281,NLD,Europe,Netherlands,2020-11-01,350764.0,7385.0,20470.767,430.99199999999996,48472.545,3.32,0.021054042033960156,2.706328534703231
39224,NOR,Europe,Norway,2020-11-01,19563.0,282.0,3608.583,52.018,64800.057,3.6,0.014414967029596687,1.1602283571978587
41733,POL,Europe,Poland,2020-11-01,362731.0,5631.0,9584.241,148.785,27216.445,6.62,0.01552390063159752,2.0935162389895017
42001,PRT,Europe,Portugal,2020-11-01,141279.0,2507.0,13855.355,245.864,27936.896,3.39,0.01774502933910914,2.050654245708174
42888,ROU,Europe,Romania,2020-11-01,241339.0,6968.0,12545.118,362.20599999999996,23313.199,6.892,0.028872250237218188,1.930077531817924
43213,RUS,Europe,Russia,2020-11-01,1618116.0,27990.0,11087.964,191.798,24765.953999999998,8.05,0.017297894588521465,0.9456162792267317
44524,SMR,Europe,San Marino,2020-11-01,928.0,42.0,27343.98,1237.5510000000002,56861.47,3.8,0.04525862068965517,2.745595476484419
45546,SRB,Europe,Serbia,2020-11-01,46954.0,820.0,6900.335999999999,120.507,14048.881000000001,5.609,0.017463900839119136,1.9046668669549738
46870,SVK,Europe,Slovakia,2020-11-01,57664.0,219.0,10561.863000000001,40.113,30155.152000000002,5.82,0.0037978634850166482,2.053570109262278
47135,SVN,Europe,Slovenia,2020-11-01,34307.0,231.0,16502.223,111.115,31400.84,4.5,0.0067333197306672105,2.0112277782340224
48583,ESP,Europe,Spain,2020-11-01,1185678.0,35878.0,25359.502,767.365,34272.36,2.97,0.030259480229876914,1.9689730044410783
49978,SWE,Europe,Sweden,2020-11-01,129042.0,6001.0,12777.358999999999,594.201,46949.282999999996,2.22,0.046504238929960785,1.393013327901293
50303,CHE,Europe,Switzerland,2020-11-01,153728.0,2035.0,17762.54,235.135,57410.166,4.53,0.013237666527893422,2.3309066410454715
53649,UKR,Europe,Ukraine,2020-11-01,387481.0,7196.0,8859.998,164.541,7894.393,8.8,0.018571233170142535,1.8886848466596988
54299,GBR,Europe,United Kingdom,2020-11-01,1011660.0,46555.0,14902.335,685.7819999999999,39753.244,2.54,0.046018425162604036,2.4360003528478127
55626,VAT,Europe,Vatican,2020-11-01,26.0,,32138.443,,,,,
